db_id,db_slug,db_url_candidate,db_title,db_status,db_published,exists_in_sitemap,exists_live,live_status_code,canonical,indexable,has_internal_links_in,internal_links_in_count,service_detected,location_detected,recommendation
"1be53796-0f81-4ca8-8f3c-9288555b5cd0","baloane-heliu-aniversare-bucuresti","https://www.kassia.ro/baloane-heliu-aniversare-bucuresti","Baloane cu Heliu Aniversare București și Ilfov | Kassia Events","inactive",,true,true,200,"https://www.kassia.ro/baloane-heliu-aniversare-bucuresti/",true,true,3,"","","KEEP_LIVE"
"990f101d-96fc-4b1f-a242-56ac182bb0c6","decoratiuni-baloane-victoriei","https://www.kassia.ro/decoratiuni-baloane-victoriei","Decoratiuni Baloane Victoriei","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-victoriei/",false,false,0,"","","ADD_TO_SITEMAP"
"19ecae36-d252-4258-9e65-72560c474708","decoratiuni-baloane-colentina","https://www.kassia.ro/decoratiuni-baloane-colentina","Decoratiuni Baloane Colentina","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-colentina/",false,false,0,"","","ADD_TO_SITEMAP"
"fb90b374-cf62-446e-838c-c8c9ea9991b3","decoratiuni-baloane-obor","https://www.kassia.ro/decoratiuni-baloane-obor","Decoratiuni Baloane Obor","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-obor/",false,false,0,"","","ADD_TO_SITEMAP"
"159a01b9-3213-476b-8f78-032f4ab024ff","decoratiuni-baloane-tei","https://www.kassia.ro/decoratiuni-baloane-tei","Decoratiuni Baloane Tei","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-tei/",false,false,0,"","","ADD_TO_SITEMAP"
"ffc4e35d-461f-4d96-b310-d7ff6821af46","decoratiuni-baloane-giulesti","https://www.kassia.ro/decoratiuni-baloane-giulesti","Decoratiuni Baloane Giulesti","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-giulesti/",false,false,0,"","","ADD_TO_SITEMAP"
"45b1f2be-5d3b-488c-8236-4f9f531934aa","decoratiuni-baloane-tineretului","https://www.kassia.ro/decoratiuni-baloane-tineretului","Decoratiuni Baloane Tineretului","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-tineretului/",false,false,0,"","","ADD_TO_SITEMAP"
"4ef2e77e-3778-46d9-a271-0ffc2b031ae9","decoratiuni-baloane-tunari","https://www.kassia.ro/decoratiuni-baloane-tunari","Decoratiuni Baloane Tunari","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-tunari/",false,false,0,"","","ADD_TO_SITEMAP"
"160e370f-0540-4501-b50f-62f88b6c8e83","animatori-petreceri-copii-bucuresti","https://www.kassia.ro/animatori-petreceri-copii-bucuresti","Animatori petreceri copii București și Ilfov | Jocuri, mascote și activități","inactive",,false,true,200,"https://www.kassia.ro/animatori-petreceri-copii/",true,false,0,"","","ADD_TO_SITEMAP"
"816d6825-8f78-4871-a5c1-1b6ae53255a8","arcada-baloane-bucuresti","https://www.kassia.ro/arcada-baloane-bucuresti","Arcada Baloane Bucuresti","inactive",,true,true,200,"https://www.kassia.ro/arcada-baloane-bucuresti/",true,true,1409,"","","KEEP_LIVE"
"302ecd22-67c2-425f-a184-d49e126b4a6d","animatori-petreceri-copii-ilfov","https://www.kassia.ro/animatori-petreceri-copii-ilfov","Animatori Petreceri Copii animatori petreceri copii ilfov - Kassia","inactive",,false,true,200,"https://www.kassia.ro/animatori-petreceri-copii-ilfov/",false,false,0,"","","ADD_TO_SITEMAP"
"173c35d7-6109-49aa-9c7d-a5560c268cd1","decoratiuni-baloane-majorat-bucuresti","https://www.kassia.ro/decoratiuni-baloane-majorat-bucuresti","Decoratiuni Baloane Majorat Bucuresti","inactive",,true,true,200,"https://www.kassia.ro/decoratiuni-baloane-majorat-bucuresti/",true,true,823,"","","KEEP_LIVE"
"46a20540-c418-4e3a-a33b-a4dd793c8ec1","animatori-gradinita-bucuresti","https://www.kassia.ro/animatori-gradinita-bucuresti","Animatori grădiniță București | Activități copii | Kassia","inactive",,true,true,200,"https://www.kassia.ro/animatori-gradinita-bucuresti/",true,false,0,"","","IMPROVE_LIVE"
"411ed8e1-1a41-4756-925b-61ef0eeacf4c","decoratiuni-baloane-turta-bucuresti","https://www.kassia.ro/decoratiuni-baloane-turta-bucuresti","Decoratiuni Baloane Turta Bucuresti","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-turta-bucuresti/",false,true,96,"","","ADD_TO_SITEMAP"
"9bc61400-1ffe-4085-8454-0b2658e9dea3","home","https://www.kassia.ro/home","Homepage","inactive",,false,false,404,"https://www.kassia.ro/404/",false,false,0,"","","DO_NOT_TOUCH"
"a2070702-00fa-44b9-9149-00d3858bd92c","decoratiuni-baloane-8-martie-bucuresti","https://www.kassia.ro/decoratiuni-baloane-8-martie-bucuresti","Decoratiuni Baloane 8 Martie Bucuresti","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-8-martie-bucuresti/",false,true,1,"","","ADD_TO_SITEMAP"
"cb6aa0a7-8e40-462e-bf08-96e7fc9c05b1","decoratiuni-baloane-cununie-bucuresti","https://www.kassia.ro/decoratiuni-baloane-cununie-bucuresti","Decoratiuni Baloane Cununie Bucuresti","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-cununie-bucuresti/",false,true,1,"","","ADD_TO_SITEMAP"
"c432084e-1b92-45d9-8a3e-625e8d7514c5","cat-costa-un-decor-de-baloane-pentru-nunta","https://www.kassia.ro/cat-costa-un-decor-de-baloane-pentru-nunta","Cât costă decor baloane nuntă?","inactive",,false,false,404,"https://www.kassia.ro/404/",false,false,0,"","","DO_NOT_TOUCH"
"2e8e88e5-79db-42ee-91a1-f86003c13cb1","ce-include-un-pachet-decor-baloane","https://www.kassia.ro/ce-include-un-pachet-decor-baloane","Ce include un pachet decor baloane?","inactive",,false,false,404,"https://www.kassia.ro/404/",false,false,0,"","","DO_NOT_TOUCH"
"907f8ce1-efbe-4a3e-88f8-cb04aea98640","cum-alegi-pachetul-de-decoratiuni-baloane","https://www.kassia.ro/cum-alegi-pachetul-de-decoratiuni-baloane","Cum alegi pachetul de decorațiuni baloane?","inactive",,false,false,404,"https://www.kassia.ro/404/",false,false,0,"","","DO_NOT_TOUCH"
"d723d16f-c8f2-4ab5-8166-4af3ce94a19b","cum-alegi-arcada-de-baloane","https://www.kassia.ro/cum-alegi-arcada-de-baloane","Cum alegi arcada de baloane?","inactive",,false,false,404,"https://www.kassia.ro/404/",false,false,0,"","","DO_NOT_TOUCH"
"b7c8841b-96c5-4213-8b02-d9add488b8c4","animatori-cu-concursuri-copii-bucuresti","https://www.kassia.ro/animatori-cu-concursuri-copii-bucuresti","Animatori Petreceri Copii animatori cu concursuri copii bucuresti - Kassia","inactive",,false,true,200,"https://www.kassia.ro/animatori-cu-concursuri-copii-bucuresti/",false,false,0,"","","ADD_TO_SITEMAP"
"4f3aaac4-e7c9-4073-b162-c1930f0789cf","animator-copii-1-ora-bucuresti","https://www.kassia.ro/animator-copii-1-ora-bucuresti","Animatori Petreceri Copii animator copii 1 ora bucuresti - Kassia","inactive",,false,true,200,"https://www.kassia.ro/animator-copii-1-ora-bucuresti/",false,false,0,"","","ADD_TO_SITEMAP"
"c5b61c9d-6d7b-4dba-a245-c9a0058e8881","ateliere-creative-copii-bucuresti","https://www.kassia.ro/ateliere-creative-copii-bucuresti","Animatori Petreceri Copii ateliere creative copii bucuresti - Kassia","inactive",,false,true,200,"https://www.kassia.ro/ateliere-creative-copii-bucuresti/",false,true,2,"","","ADD_TO_SITEMAP"
"75936d5a-dc9f-415f-8ffd-c4c6fdc02eec","animator-copii-2-ore-bucuresti","https://www.kassia.ro/animator-copii-2-ore-bucuresti","Animatori Petreceri Copii animator copii 2 ore bucuresti - Kassia","inactive",,false,true,200,"https://www.kassia.ro/animator-copii-2-ore-bucuresti/",false,false,0,"","","ADD_TO_SITEMAP"
"93153096-ba00-4b76-9993-d63307f617dc","idei-decor-baloane-aniversare-copii","https://www.kassia.ro/idei-decor-baloane-aniversare-copii","Idei decor baloane aniversare copii","inactive",,false,false,404,"https://www.kassia.ro/404/",false,false,0,"","","DO_NOT_TOUCH"
"49df2e5d-8ce0-4522-a69f-0d132b6efedf","idei-jocuri-petrecere-copii","https://www.kassia.ro/idei-jocuri-petrecere-copii","Animatori Petreceri Copii blog/idei jocuri petrecere copii - Kassia","inactive",,false,false,404,"https://www.kassia.ro/404/",false,false,0,"","","DO_NOT_TOUCH"
"eef84cbe-6c6c-47c9-9151-d5058ce851dd","arcada-baloane-organica-sau-clasica","https://www.kassia.ro/arcada-baloane-organica-sau-clasica","Arcadă baloane organică sau clasică","inactive",,false,false,404,"https://www.kassia.ro/404/",false,false,0,"","","DO_NOT_TOUCH"
"5f939112-fcba-4b2d-833e-2178d1c0dc94","baloane-personalizate-pentru-evenimente","https://www.kassia.ro/baloane-personalizate-pentru-evenimente","Baloane personalizate pentru evenimente","inactive",,false,false,404,"https://www.kassia.ro/404/",false,false,0,"","","DO_NOT_TOUCH"
"36451ab1-07b1-444f-b5eb-40d5868b9bf2","ce-dimensiune-trebuie-sa-aiba-o-arcada-de-baloane","https://www.kassia.ro/ce-dimensiune-trebuie-sa-aiba-o-arcada-de-baloane","Dimensiune arcadă baloane","inactive",,false,false,404,"https://www.kassia.ro/404/",false,false,0,"","","DO_NOT_TOUCH"
"db14c220-7b43-43bc-ae7f-2ac46e1874f0","panou-foto-cu-baloane-idei-si-recomandari","https://www.kassia.ro/panou-foto-cu-baloane-idei-si-recomandari","Panou foto cu baloane idei","inactive",,false,false,404,"https://www.kassia.ro/404/",false,false,0,"","","DO_NOT_TOUCH"
"7b6e25e4-e893-43aa-84a1-dd3517b4fb9e","foto-corner-cu-baloane-pentru-evenimente","https://www.kassia.ro/foto-corner-cu-baloane-pentru-evenimente","Foto corner cu baloane pentru evenimente","inactive",,false,false,404,"https://www.kassia.ro/404/",false,false,0,"","","DO_NOT_TOUCH"
"6a4c3e0d-b94d-4d48-a6c6-1b5d2db70c31","decoratiuni-baloane-berceni","https://www.kassia.ro/decoratiuni-baloane-berceni","Decoratiuni Baloane Berceni","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-berceni/",false,false,0,"","","ADD_TO_SITEMAP"
"f29add44-44f8-4888-b6e0-bbb0c9e08cac","decoratiuni-baloane-petrecere-bucuresti","https://www.kassia.ro/decoratiuni-baloane-petrecere-bucuresti","Decoratiuni Baloane Petrecere Bucuresti","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-petrecere-bucuresti/",false,true,1,"","","ADD_TO_SITEMAP"
"2ef9d36c-3910-48ef-aff6-a9ad768dfb5c","decoratiuni-baloane-deschidere-magazin-bucuresti","https://www.kassia.ro/decoratiuni-baloane-deschidere-magazin-bucuresti","Decoratiuni Baloane Deschidere Magazin Bucuresti","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-deschidere-magazin-bucuresti/",false,true,1,"","","ADD_TO_SITEMAP"
"7dd28cb4-46da-4d76-81d3-7db5d41a5671","decoratiuni-baloane-scoala-bucuresti","https://www.kassia.ro/decoratiuni-baloane-scoala-bucuresti","Decoratiuni Baloane Scoala Bucuresti","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-scoala-bucuresti/",false,true,1,"","","ADD_TO_SITEMAP"
"62bf79bf-a316-4ee2-b89f-f699fb8106df","decoratiuni-baloane-gender-reveal-bucuresti","https://www.kassia.ro/decoratiuni-baloane-gender-reveal-bucuresti","Decoratiuni Baloane Gender Reveal Bucuresti","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-gender-reveal-bucuresti/",false,true,809,"","","ADD_TO_SITEMAP"
"4829d1df-f7b7-4ef3-828e-c6daed69a8cf","decoratiuni-baloane-halloween-bucuresti","https://www.kassia.ro/decoratiuni-baloane-halloween-bucuresti","Decoratiuni Baloane Halloween Bucuresti","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-halloween-bucuresti/",false,true,1,"","","ADD_TO_SITEMAP"
"0657632d-2e9c-4a3c-b8df-194a4d1b72dc","recenzii","https://www.kassia.ro/recenzii","Recenzii","inactive",,false,true,200,"https://www.kassia.ro/recenzii/",false,false,0,"","","ADD_TO_SITEMAP"
"4f553c74-1fbc-4ff5-819b-4c25fa72c713","decoratiuni-baloane-oltenitei","https://www.kassia.ro/decoratiuni-baloane-oltenitei","Decoratiuni Baloane Oltenitei","inactive",,false,true,200,"https://www.kassia.ro/decoratiuni-baloane-oltenitei/",false,false,0,"","","ADD_TO_SITEMAP"
